DoctorID,DoctorName,Department,Salary
501,Dr. King,Emergency,190545.0
502,Dr. Wilson,Cardiology,155774.0
503,Dr. Davis,Neurology,209016.0
504,Dr. King,Neurology,136728.0
505,Dr. Scott,Neurology,197580.0
506,Dr. Johnson,Pediatrics,137786.0
507,Dr. Smith,Neurology,
508,Dr. Miller,Neurology,
509,Dr. Garcia,Emergency,130735.0
510,Dr. Miller,Cardiology,205215.0
511,Dr. Allen,Cardiology,146130.0
512,Dr. Jones,Cardiology,207747.0
513,Dr. Wilson,Pediatrics,153586.0
514,Dr. Allen,Emergency,141465.0
515,Dr. Scott,Neurology,
516,Dr. Young,Cardiology,197607.0
517,Dr. Johnson,Pediatrics,159529.0
518,Dr. Allen,Orthopedics,
519,Dr. Hall,Neurology,204874.0
520,Dr. Smith,Emergency,
521,Dr. Miller,Pediatrics,
522,Dr. Brown,Pediatrics,
523,Dr. Wilson,Neurology,155179.0
524,Dr. King,Cardiology,156559.0
525,Dr. Allen,Neurology,
