CustomerID,Name,Region,JoinDate,LoyaltyPoints,CustomerSegment
1000,Robert Gomez,West,2/25/2024,1250,Silver
1001,John Silva,East,12/1/2020,890,Bronze
1002,Mark Marshall,Central,8/8/2020,3400,Gold
1003,David Brennan,North,5/21/2020,560,Bronze
1004,Kerry Collins,North,9/12/2023,6200,Platinum
1005,Jessica Mora,South,8/5/2021,1475,Silver
1006,Hannah Ray,West,7/3/2021,730,Bronze
1007,David Kim,West,5/20/2020,2850,Silver
1008,William Ramirez,EAST,9/15/2023,4120,Gold
1009,Zachary Bell Jr.,East,4/20/2023,6750,Platinum
1010,Mike Davis,East,3/23/2022,950,Bronze
1011,Amanda Myers,West,9/5/2021,1980,Silver
1012,Tara Miller,North,8/10/2020,3750,Gold
1013,Alyssa Morgan,North,7/22/2022,640,Bronze
1014,Cindy Woods,East,4/2/2024,7150,Platinum
1015,Jennifer Rodgers,North,2/12/2023,2250,Silver
1016,Andrea Roberts,EAST,5/16/2021,810,Bronze
1017,Brittney Burnett,North,7/3/2020,3520,Gold
1018,Edwin Garrison,south-west,8/31/2020,1480,Silver
1019,Michelle Torres,Central,11/18/2020,5890,Gold
1020,Michelle Brewer,East,7/14/2021,7800,Platinum
1021,Aaron Burnett,South,2/13/2024,430,Bronze
1022,Austin Gutierrez,EAST,11/25/2021,1650,Silver
1023,Dustin Medina,east,6/14/2021,3960,Gold
1024,Andres Avila,Central,9/19/2022,6100,Platinum
1025,Garrett Lewis,South,8/4/2023,920,Bronze
1026,Gary Walls,North,10/5/2023,2430,Silver
1027,Anthony Schroeder,east,10/4/2020,5100,Gold
1028,Haley Wagner,West,11/3/2023,6950,Platinum
1029,Gina Powers,West,10/26/2022,680,Bronze
1030,Alice Robinson,EAST,8/6/2021,1760,Silver
1031,Jessica Frazier,West,10/20/2021,3340,Gold
1032,Terri Long,east,10/23/2022,7420,Platinum
1033,Paul Perkins,east,3/16/2022,520,Bronze
1034,Heather Smith,Central,9/16/2022,2140,Silver
1035,Lorraine Rodriguez,East,9/26/2022,4875,Gold
